department_id,product_id,most_reordered
16,5782,340
1,1158,336
3,10673,335
4,38768,335
20,40396,334
15,26790,332
4,47630,332
19,31040,332
16,4472,331
4,36070,331
16,39180,330
4,47734,329
16,36865,328
16,44987,328
4,4562,327
4,16349,327
4,15937,326
9,39619,326
12,13198,322
16,30169,321
16,41665,321
4,23165,319
21,41149,318
20,21019,318
16,36550,317
16,13249,315
4,26940,315
4,45,314
4,43086,313
7,47141,312
19,37710,312
16,6104,311
15,35042,311
12,27695,311
7,15424,310
1,37158,309
16,7948,308
4,48745,308
4,35547,305
19,35561,303
16,19677,303
14,44422,303
4,21292,302
1,40545,301
4,37766,301
16,6348,300
12,5646,299
19,40709,298
16,24024,296
16,22959,296
13,43713,294
16,28156,293
1,24561,293
16,17872,291
4,15872,288
14,6187,286
4,33768,286
4,28993,284
1,16965,284
16,25138,284
13,13535,284
16,18370,284
16,35628,282
7,31964,282
19,34262,282
4,13984,282
19,3599,280
4,44570,280
7,16696,280
4,38400,279
16,651,278
16,329,278
4,49383,276
9,32734,276
16,42244,272
3,45123,272
14,20955,271
4,19691,268
16,44799,268
3,13517,267
4,17795,266
20,33129,265
16,11712,265
4,19048,263
20,19019,261
19,26348,261
4,30720,261
13,21195,261
20,21573,261
16,11422,260
16,20940,258
7,39947,258
16,17316,258
4,6873,258
7,27325,258
19,40199,257
7,49191,257
12,9339,256
9,12206,256
4,38777,255
16,38928,254
7,12916,254
4,38159,254
4,31915,254
16,44765,253
19,15902,253
16,22124,253
12,10017,253
19,44560,252
16,10070,251
1,49075,251
4,35163,248
16,27730,248
4,42625,248
4,39984,248
7,36316,247
16,39190,246
1,7963,246
16,42445,246
16,15613,246
4,27336,246
19,18288,245
16,13166,245
13,42356,244
19,38164,244
15,7021,243
10,5161,242
16,14218,241
3,3896,241
16,33401,240
1,20345,240
7,1194,239
1,30696,239
19,25513,239
15,3376,238
16,44008,238
1,43504,238
20,36735,237
16,27548,236
4,48775,236
19,13740,235
16,46584,234
16,21333,232
16,43662,232
7,18811,232
16,40198,232
19,5134,231
16,11068,231
16,35503,231
16,7175,230
16,46820,230
3,2855,228
12,12456,227
4,47759,227
1,9825,227
4,39276,226
16,35914,226
4,32303,226
4,39812,226
4,40516,226
4,10326,224
16,31215,224
4,26497,223
7,12576,223
3,19508,223
7,30353,223
13,7559,222
16,28476,221
1,2452,221
19,35140,220
20,2825,220
3,20738,220
19,5194,217
4,32177,217
16,32747,216
4,4724,215
19,13380,215
4,1244,215
4,21872,215
19,7503,214
7,14715,214
3,17706,214
16,8309,213
16,39581,213
4,7628,212
15,8670,212
16,17949,211
7,6631,211
15,45535,211
4,26283,211
16,18926,211
16,5612,210
16,6948,210
3,48628,210
20,23029,210
4,12614,210
7,19173,209
19,25824,209
16,3298,209
7,46149,209
16,17758,209
4,18234,208
20,5456,208
16,28427,208
1,9124,207
4,29307,207
16,24954,207
9,38273,207
16,32403,206
7,21386,205
15,22395,204
16,45104,204
16,37029,204
16,49610,203
19,41400,203
7,12606,203
1,34217,203
1,32433,202
4,21174,202
19,31651,202
13,10644,201
7,42719,200
12,9020,200
19,24841,200
7,30639,199
1,17652,199
4,32465,199
13,14462,198
19,39561,198
20,41588,197
16,4942,197
19,11759,197
15,5769,197
16,46886,197
3,45948,196
13,37220,196
9,12872,196
4,11140,196
16,45504,195
19,46616,195
15,44449,194
15,46720,194
13,7751,194
13,18441,194
7,43631,194
4,10385,193
16,27323,193
4,13733,193
16,23543,192
19,17616,192
16,11512,192
16,13263,192
1,31766,191
13,13829,191
7,48559,190
16,31981,190
4,33352,190
1,11440,190
4,26800,190
20,28373,190
3,29553,189
16,14999,189
3,41658,189
16,3990,189
1,18918,188
4,33055,188
4,16616,187
15,11408,187
6,36724,187
4,47788,186
4,29675,186
4,7969,185
7,22802,185
15,1999,183
16,12384,183
13,27796,183
19,20734,182
20,20574,181
16,47912,181
16,27307,181
19,7644,181
19,2091,180
14,31759,180
20,49131,180
7,47877,180
3,42460,180
19,11576,179
1,35887,179
17,32650,179
1,34466,178
4,4149,178
3,35383,178
16,7131,177
3,17341,177
19,16254,176
19,40063,176
19,5322,176
16,37524,176
7,26317,176
12,17878,175
9,35004,175
4,37065,175
4,5618,175
12,27360,175
9,42110,174
19,14633,174
4,35535,174
3,45064,174
1,38944,174
7,40939,174
16,43394,173
20,7485,173
4,41065,173
16,44479,173
17,42240,173
9,48395,173
16,33572,173
6,2450,173
16,33548,172
4,14161,171
3,48857,171
1,13966,170
16,17008,170
7,38200,170
19,24810,169
16,26384,169
19,19006,169
4,13575,168
4,45200,168
20,17429,168
4,1408,168
19,16521,167
9,14852,167
19,29926,166
16,27744,166
1,47792,166
16,32566,166
7,39108,165
16,38772,164
4,12980,164
19,39657,164
4,47042,164
4,41273,164
5,2120,163
19,22474,163
1,2326,163
19,16589,163
4,15200,163
1,26914,163
7,35336,162
1,32691,162
16,2962,162
3,24235,162
16,34668,161
19,42803,161
1,25753,161
19,46061,160
4,3464,160
4,32429,159
16,4367,158
16,13083,158
16,12099,158
15,9092,158
1,34584,158
1,5449,158
16,36929,158
4,14897,157
9,46522,157
16,23341,157
16,17902,157
13,35898,157
16,44156,157
16,3583,157
16,781,157
4,39558,156
13,28535,156
4,28601,156
13,4656,155
7,40910,155
1,28553,155
1,1215,155
4,25588,154
16,31720,154
16,10912,154
4,5068,153
14,21543,153
4,18656,153
19,32455,153
18,43875,153
19,17224,153
15,18479,152
16,5460,151
16,10831,151
4,4086,151
4,29662,151
7,10032,151
4,48527,151
16,30949,150
4,37011,150
4,1529,150
4,38557,150
19,29370,150
16,37718,150
12,19068,150
4,39040,150
4,31562,149
4,45763,149
7,8087,149
3,31371,148
3,3849,148
16,18594,148
7,13292,148
12,46041,148
4,39922,148
20,8138,148
20,28928,147
16,34234,147
1,9515,147
4,10305,147
12,43565,147
16,22025,147
9,14168,147
4,4945,147
16,9808,147
3,18987,147
4,581,146
3,16262,146
7,34024,146
3,46842,145
19,1700,145
4,34429,145
9,36772,144
1,2228,144
16,38544,144
3,46572,144
4,31805,144
14,365,143
4,25705,143
4,30406,143
16,26131,143
13,42557,142
7,6287,142
14,31433,142
17,19488,142
19,27690,142
4,45063,142
16,6532,142
19,14778,141
1,31869,141
3,19816,141
16,11005,141
4,21295,141
7,13944,141
16,5550,140
4,44661,140
16,47156,140
3,23233,140
15,49175,140
7,25718,139
19,6128,139
16,46650,139
16,12745,139
16,6347,139
16,4793,139
1,23236,139
7,9623,139
1,5959,138
19,13819,138
3,40348,138
19,46226,138
1,26128,138
19,17835,138
16,12078,138
3,21497,138
20,37119,138
3,29615,138
7,11123,137
16,16617,137
7,45747,137
15,5373,137
16,20899,137
1,48171,137
4,3798,136
4,36389,136
16,29127,136
16,45646,136
16,3765,136
19,21009,136
16,45570,136
13,13431,135
16,14870,135
19,40268,134
7,4138,134
4,27020,133
9,14197,133
7,9421,133
4,36956,133
17,8230,133
3,14467,133
7,41276,133
1,311,132
19,6489,132
16,23044,132
7,22556,132
9,1090,132
16,8153,132
7,18564,131
4,16283,131
19,23579,131
14,4137,131
1,17807,131
16,30442,131
7,9018,131
3,8467,131
16,49247,131
4,16249,130
16,36086,130
12,46990,130
19,46692,130
15,25544,130
4,25272,130
7,24759,130
12,47900,130
16,13712,129
16,8490,129
19,13424,129
7,36127,129
19,21614,129
19,20580,128
7,27985,128
4,17313,128
1,9741,128
7,36107,128
9,18019,127
4,19003,127
7,42731,127
18,2611,127
19,47357,127
7,32578,127
7,45840,127
19,14901,127
16,2716,126
20,7916,126
14,18352,126
7,1695,126
16,43643,126
19,23645,126
4,19604,126
3,39097,126
19,7736,126
19,11352,126
16,10473,126
15,21417,125
7,18023,125
16,19156,125
16,22089,125
4,10621,125
19,12845,125
4,22849,125
20,5031,124
7,3389,124
4,29223,124
1,20754,124
7,44375,124
4,5451,124
1,46175,124
16,48104,124
3,44042,124
16,24535,124
7,17191,124
4,24221,124
10,22260,124
19,44548,123
19,9755,123
19,12427,123
16,17630,123
12,10603,123
20,10369,123
12,34530,122
7,44292,122
12,10814,122
4,43014,122
19,34137,122
13,33043,122
16,15541,122
4,47890,122
16,32030,122
3,7806,121
16,25837,121
16,1559,121
16,14147,121
19,33894,121
4,6740,121
5,46088,121
7,19125,121
18,34134,121
14,34,120
19,33716,120
9,24009,120
16,10761,120
1,24010,120
4,20632,120
7,32740,120
13,48697,120
12,22888,120
16,6615,119
7,6182,119
4,36082,119
16,47029,119
20,23765,119
9,28278,119
4,23622,118
1,2361,118
14,39216,118
7,8736,118
7,35199,118
4,3999,118
1,21463,118
16,17207,117
1,38274,117
19,45866,117
20,32139,117
12,25985,117
16,1890,117
16,2314,117
16,26346,117
7,31102,117
4,42495,117
19,47866,116
16,27196,116
4,4796,116
9,32360,116
9,23801,116
4,43735,116
4,25340,116
16,36186,116
20,33846,116
7,19894,115
3,13702,115
4,8955,115
16,7156,115
16,23296,115
19,46049,115
4,33147,114
16,22882,114
7,28836,114
19,25197,114
9,5240,114
16,5337,114
1,39121,114
4,20919,114
4,30305,114
5,33065,114
7,5428,114
3,11461,114
12,39046,114
12,21927,114
4,14651,114
3,32211,114
14,9550,113
19,38185,113
7,32156,113
16,25949,113
16,26172,113
12,1117,113
16,33791,113
1,45681,113
16,18689,113
20,25199,113
4,11365,113
15,14129,112
16,40593,112
7,3873,112
7,33452,112
4,15261,112
3,20583,111
12,49236,111
16,37141,111
4,2846,111
4,10504,111
1,15950,110
4,18434,110
3,20561,110
7,36036,109
7,43967,109
7,4462,109
16,7054,109
3,26856,109
13,12409,109
19,14858,109
4,46206,109
19,28597,109
16,43279,108
1,24082,108
19,10753,108
3,44310,108
1,7862,108
9,9366,108
15,20378,108
4,34487,108
19,19863,108
16,15399,107
16,25533,107
4,38028,107
1,45613,107
12,35752,107
16,29594,107
7,13259,107
12,12732,107
20,26047,107
19,38656,107
1,28123,107
4,41259,107
4,44514,107
7,24186,107
19,8479,106
16,14874,106
5,38444,106
19,48595,106
16,19820,106
5,45190,106
7,8475,106
16,34197,106
15,45013,106
19,12817,105
9,18599,105
1,20113,105
16,5640,105
16,13409,105
13,23537,105
4,13852,105
13,18963,105
7,16290,105
18,3020,105
7,7521,105
16,13225,105
20,34128,105
16,38312,104
16,18670,104
16,15984,104
19,3397,104
20,48057,104
16,25133,104
4,19049,104
16,23644,104
19,18382,104
14,31663,104
16,21553,104
19,15386,104
4,10151,104
4,23322,103
1,22559,103
16,37940,103
7,31231,103
17,48370,103
1,8022,103
16,4451,103
9,3142,103
13,8239,103
4,1025,103
14,37464,102
3,17419,102
16,13802,102
